Image,Status,Confidence_Score,Payment_Score,Original_Text,Normalized_Text,Detected_Phrases,Recommended_Deletion
images/tossbank3.jpg,payment_successful,0.85,8,OOH QE 수 31000 원 을 보 냈 어이 Lom | @,OOH QE 수 31000 원을보냈어이 Lom | @,"원, High payment score: 8",YES
Images payments/Screenshot_20240627_191355_One UI Home.jpg,payment_successful,0.7,1,"is 일 me 0 "" on? Age SSS a or) Ray @00039 9 0098 0088 1228 meh 8000 (6) (기","is 일 me 0 "" on? Age SSS a or) Ray @00039 9 0098 0088 1228 meh 8000 (6) (기","Korean characters detected, Korean text + large numbers, Multiple numbers + Korean text",NO
Images payments/Screenshot_20250609_193723_Toss.jpg,unknown,0.7,2,FH IS 90940 & 59952 김 용 채 팀 에 000 © <,FH IS 90940 & 59952 김용채팀에 000 © <,Medium payment score: 2,NO
Images payments/Screenshot_20241203_030526_ Hana EZ.jpg,payment_successful,0.9,5,3105 09 © @ ㆍ @ 99%O Domestic Transfer x Oj Transfer is completed. 2024.12.03 03:05:24 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Woori Bank 1002462662321 ISMAILOV K Transfer A...,3105 09 © @ ㆍ @ 99%O Domestic Transfer x Oj Transfer is completed. 2024.12.03 03:05:24 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Woori Bank 1002462662321 ISMAILOV K Transfer A...,completed,YES
Images payments/Screenshot_20241031_182702.jpg,payment_successful,0.85,5,"6:27 경 이 ㆍ XZ ull <. 고 객 님 을 위한 상품 QA 님 O Gat Sse ap ens > 삼화 아 이 롱 꼬 리 빗 J SH-FO07(Z28) yy 1,5002! (171 1,5002) f 모 레 ( 토 ) 11/2 도착 예정 / / 습 습 (5) 수량: 1 개 함께 본 상 품 최근 본 상품 함께 다른 고 객 이 함께 본 상품 . 삼화 세라...","6:27 경이 ㆍ XZ ull <. 고객님을위한상품 QA 님 O Gat Sse ap ens > 삼화아이롱꼬리빗 J SH-FO07(Z28) yy 1,5002! (171 1,5002) f 모레 ( 토 ) 11/2 도착예정 / / 습습 (5) 수량: 1 개함께본상품최근본상품함께다른고객이함께본상품 . 삼화세라믹아이롱전용꼬리빗 7 (온도 250~300 도이상내구성)...","원, 원, 원, High payment score: 5",YES
Images payments/Screenshot_20250419_174116_INHA Library.jpg,payment_successful,0.7,0,SH 이 < Reading room Status (9) 2-2 Reading Room 298 Seat ^ Reservation Date 12:44 PM ~ 6:44 PM Status Assigned 63/360 Extend Before 5:44PM Renewal 0/3 Reservation Method Mobile Preferred Seat Q Return...,SH 이 < Reading room Status (9) 2-2 Reading Room 298 Seat ^ Reservation Date 12:44 PM ~ 6:44 PM Status Assigned 63/360 Extend Before 5:44PM Renewal 0/3 Reservation Method Mobile Preferred Seat Q Return...,"Korean characters detected, Multiple numbers + Korean text",NO
Images payments/Screenshot_20241202_074218_ Hana EZ.jpg,payment_successful,0.9,7,7:42 09 {시 렉스 1] 37%O Domestic Transfer x Oj Transfer is completed. 2024.12.02 07:42:14 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100088546878 FAZILOV MI Transfer Amount ...,7:42 09 {시렉스 1] 37%O Domestic Transfer x Oj Transfer is completed. 2024.12.02 07:42:14 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100088546878 FAZILOV MI Transfer Amount K...,completed,YES
Images payments/Screenshot_20240705_144709_One UI Home.jpg,not_payment_screenshot,0.0,1,BA? BOD o Sal VS (60609 065 OE) ©) GOO) teh | 8 OBS RAW) 2 oF . @ Skype . TR rome) 000 9 %,BA? BOD o Sal VS (60609 065 OE) ©) GOO) teh | 8 OBS RAW) 2 oF . @ Skype . TR rome) 000 9 %,,NO
Images payments/Screenshot_20241202_130441_KuCoin.jpg,payment_successful,0.85,3,1:04 tO @ all 31% O < P2P - =: => Avoid P2P Scams (a) The most popular P2P scams y... ©) ! | Buy Sell [>] CkRw » ) @ USDT © | Quantity * | Payment Method ㅋ Y # 1580 Quantity 1147.687344 USDT Limit 100...,1:04 tO @ all 31% O < P2P - =: => Avoid P2P Scams (a) The most popular P2P scams y... ©) ! | Buy Sell [>] CkRw » ) @ USDT © | Quantity * | Payment Method ㅋ Y # 1580 Quantity 1147.687344 USDT Limit 100...,High payment score: 3,YES
Images payments/Screenshot_20241218_180504_KakaoMap.jpg,payment_successful,0.85,3,"CHS JOH o 20 Sal 0920 = fe] > 8 All 13 Bus 7 Subway0 Bus+Subway 6 Today 6:04 PM Start v Recommendation v Thr 20min © Walk 24min | Card ¥1,550 | Long wait expected Alarm 용 남 시장 37236 | 801 @ 오 리 정 정류장 ...","CHS JOH o 20 Sal 0920 = fe] > 8 All 13 Bus 7 Subway0 Bus+Subway 6 Today 6:04 PM Start v Recommendation v Thr 20min © Walk 24min | Card ¥1,550 | Long wait expected Alarm 용남시장 37236 | 801 @ 오리정정류장 Thr 2...",High payment score: 3,YES
Images payments/Screenshot_20241002_192124_ Hana EZ.jpg,payment_successful,0.9,7,7:21 <@@) idl ¢ LE Wl 32%Q Domestic Transfer x Oj Transfer is completed. 2024.10.02 19:21:20 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 190868733923 토 스 최 선 호 Transfer Amo...,7:21 <@@) idl ¢ LE Wl 32%Q Domestic Transfer x Oj Transfer is completed. 2024.10.02 19:21:20 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 190868733923 토스최선호 Transfer Amount ...,completed,YES
